"GROUP","STN","NAME","ELEV_M","HOUR_KST","N_PAIRED_HOURS","MAE_BEFORE_C","MAE_AFTER_C","MAE_IMPROVEMENT_C"
"2","519","사내","298.11","0","349","1.3218363945257052","1.9797169447546523","-0.6578805502289471"
"2","519","사내","298.11","1","350","1.3504651162507322","2.0050740563730054","-0.6546089401222732"
"2","519","사내","298.11","2","349","1.4436272101349232","2.082920581564744","-0.6392933714298208"
"2","519","사내","298.11","3","346","1.4470752700656113","2.085415171830902","-0.6383399017652909"
"2","519","사내","298.11","4","347","1.4731966755272365","2.1269432296351964","-0.6537465541079599"
"2","519","사내","298.11","5","347","1.5204834059364767","2.194348558737996","-0.6738651528015194"
"2","519","사내","298.11","6","347","1.511043342266814","2.174826476171046","-0.6637831339042322"
"2","519","사내","298.11","7","345","1.4343041640169325","2.0166346701082136","-0.5823305060912811"
"2","519","사내","298.11","8","351","1.3196156511699828","1.7342220512881448","-0.41460640011816197"
"2","519","사내","298.11","9","361","1.3888594313623497","1.3734736247855512","0.015385806576798444"
"2","519","사내","298.11","10","362","1.5665144760792766","1.1438789538964778","0.4226355221827989"
"2","519","사내","298.11","11","362","1.8033305801859882","1.0668459438086664","0.7364846363773219"
"2","519","사내","298.11","12","363","1.8638514818834524","1.028872340217511","0.8349791416659413"
"2","519","사내","298.11","13","363","1.7777704127456926","0.8918568766534783","0.8859135360922142"
"2","519","사내","298.11","14","363","1.6538402017634708","0.7777395448211382","0.8761006569423326"
"2","519","사내","298.11","15","363","1.538398102897011","0.6502285428747177","0.8881695600222934"
"2","519","사내","298.11","16","363","1.3125116385714575","0.5441019151516233","0.7684097234198342"
"2","519","사내","298.11","17","363","1.0708844982294086","0.8879525407941604","0.18293195743524815"
"2","519","사내","298.11","18","363","1.0420855021916844","1.164080789154912","-0.1219952869632277"
"2","519","사내","298.11","19","358","0.9989083611578178","1.3432027689401551","-0.34429440778233733"
"2","519","사내","298.11","20","355","1.060574747209043","1.5105173784582837","-0.4499426312492407"
"2","519","사내","298.11","21","354","1.0734342604012828","1.6465696880869773","-0.5731354276856946"
"2","519","사내","298.11","22","353","1.181694732876594","1.780953638447824","-0.5992589055712298"
"2","519","사내","298.11","23","352","1.237550428428657","1.8533980835891184","-0.6158476551604615"
"3","311","가야산","605.47","0","365","2.326340414908534","1.0305778200381706","1.2957625948703633"
"3","311","가야산","605.47","1","365","2.1525846164559272","1.1708525266879906","0.9817320897679367"
"3","311","가야산","605.47","2","365","2.05616961825002","1.2811759866675214","0.7749936315824988"
"3","311","가야산","605.47","3","365","1.9313967143497763","1.4434794382665908","0.4879172760831856"
"3","311","가야산","605.47","4","365","1.9023339769003256","1.4837843905282642","0.4185495863720614"
"3","311","가야산","605.47","5","365","1.885413624483756","1.5782769192191326","0.30713670526462344"
"3","311","가야산","605.47","6","365","1.88014433024739","1.6405495926261036","0.23959473762128636"
"3","311","가야산","605.47","7","365","1.9621944674234415","1.690384009355232","0.27181045806820947"
"3","311","가야산","605.47","8","365","2.023325910757715","1.6587089845193286","0.36461692623838626"
"3","311","가야산","605.47","9","365","2.242020613980501","1.4658223405101003","0.7761982734704005"
"3","311","가야산","605.47","10","365","2.533797081152803","1.2028582315872653","1.3309388495655377"
"3","311","가야산","605.47","11","365","2.9519924848897574","0.993367041054271","1.9586254438354864"
"3","311","가야산","605.47","12","365","3.4026668713104296","0.9591852405983056","2.443481630712124"
"3","311","가야산","605.47","13","365","3.6836512571886164","1.079539775167567","2.6041114820210494"
"3","311","가야산","605.47","14","365","3.9312434428865575","1.2333091422210483","2.6979343006655094"
"3","311","가야산","605.47","15","365","4.264436018638114","1.5273561935354094","2.737079825102705"
"3","311","가야산","605.47","16","365","4.719635698114123","1.9666642803562204","2.7529714177579026"
"3","311","가야산","605.47","17","365","4.79743627360925","2.0602353492053163","2.737200924403934"
"3","311","가야산","605.47","18","365","4.433355800900201","1.789626785051998","2.643729015848203"
"3","311","가야산","605.47","19","365","3.7962391301783383","1.3065517294480928","2.4896874007302454"
"3","311","가야산","605.47","20","365","3.307608451226898","1.03882186709169","2.268786584135208"
"3","311","가야산","605.47","21","365","2.98220426120585","0.9656001924891074","2.0166040687167426"
"3","311","가야산","605.47","22","365","2.751664138666404","0.9528144137782003","1.7988497248882038"
"3","311","가야산","605.47","23","365","2.5157535710666306","0.9744168435544371","1.5413367275121934"
"4","316","무등산","911.53","0","365","3.2343506262378328","2.811459635463133","0.4228909907746998"
"4","316","무등산","911.53","1","365","3.1395738162997047","3.0622653304975525","0.07730848580215222"
"4","316","무등산","911.53","2","365","3.068519762479833","3.2583370914202052","-0.1898173289403724"
"4","316","무등산","911.53","3","365","3.1084435981315934","3.400086354771556","-0.29164275663996264"
"4","316","무등산","911.53","4","365","3.0822374516945596","3.5334083765225897","-0.45117092482803"
"4","316","무등산","911.53","5","365","3.094455342037033","3.616929436081976","-0.5224740940449433"
"4","316","무등산","911.53","6","365","3.091902290680991","3.739420466285429","-0.6475181756044379"
"4","316","무등산","911.53","7","365","3.115839939053364","3.535092732518327","-0.4192527934649628"
"4","316","무등산","911.53","8","365","3.431604483726479","2.9958247953165067","0.4357796884099723"
"4","316","무등산","911.53","9","365","4.127296696247059","2.174912298588267","1.9523843976587925"
"4","316","무등산","911.53","10","365","5.121804544760231","1.643281464943868","3.4785230798163624"
"4","316","무등산","911.53","11","364","5.882647379138104","1.4599505045821988","4.422696874555905"
"4","316","무등산","911.53","12","364","6.272146533405235","1.4503805410502106","4.821765992355024"
"4","316","무등산","911.53","13","364","6.373668355821638","1.3944152656522208","4.979253090169418"
"4","316","무등산","911.53","14","364","6.507514434876483","1.4566371941758365","5.050877240700647"
"4","316","무등산","911.53","15","364","6.563610368015156","1.4906467859249009","5.072963582090255"
"4","316","무등산","911.53","16","365","6.526315723650805","1.4903807075921225","5.035935016058683"
"4","316","무등산","911.53","17","365","6.420815694094267","1.4431841537267567","4.9776315403675095"
"4","316","무등산","911.53","18","365","6.003895693839721","1.261029158871287","4.742866534968433"
"4","316","무등산","911.53","19","365","5.441618937978255","1.2701857203490572","4.171433217629198"
"4","316","무등산","911.53","20","365","4.684737612262008","1.4646616651956932","3.220075947066315"
