HOUR,METHOD,METRIC,N_STATIONS,SLOPE_C_PER_100M,INTERCEPT_C,R2,SPEARMAN_RHO,MEDIAN_C
3,fixed_lapse,RMSE,513,0.11749658965426345,1.1258683942903014,0.187991127332076,0.19677962473962238,1.127396258654756
4,none,MAE,513,0.11377101074127713,0.9185359091186783,0.19109237766048148,0.24167400564673377,0.8979686271939082
4,none,BIAS,513,0.13367099181958986,-0.2537268634854138,0.10676662449469021,0.19553580539337165,-0.0852072495418022
4,none,RMSE,513,0.1275085120922724,1.1703788805856004,0.1951643192400313,0.23327054757384932,1.1643502475775478
4,fixed_lapse,MAE,513,0.09194256755247994,0.8697119898344082,0.16771585247936027,0.18457946666563543,0.8695540223154518
4,fixed_lapse,BIAS,513,-0.10190301877910438,0.2195450683566474,0.0732890498863269,-0.06259224093519328,0.127946958264494
4,fixed_lapse,RMSE,513,0.1238512099044167,1.1283191099524714,0.19859793026975725,0.19699223887305803,1.1521541544830347
5,none,MAE,513,0.11367682323544619,0.9188806670542674,0.18958358602574987,0.24423110836318174,0.898856848902483
5,none,BIAS,513,0.13098968171811412,-0.24900864453307645,0.10364647705293117,0.19792069243944682,-0.0837167411393997
5,none,RMSE,513,0.1275648741663769,1.170665321077416,0.19405588661387652,0.23890971081279488,1.168101125493368
5,fixed_lapse,MAE,513,0.09496585306634991,0.8687016481573272,0.1716750466894048,0.18937906184548134,0.8779082549032154
5,fixed_lapse,BIAS,513,-0.10461492908513825,0.22412041615633654,0.07557568419298577,-0.06167036489634385,0.1137783491408571
5,fixed_lapse,RMSE,513,0.12808600245385743,1.1270332327743846,0.20346536285102967,0.20510001930594515,1.1630053970541665
6,none,MAE,513,0.11366305568394726,0.9109638553136142,0.19205049558446385,0.24423968581463515,0.8994136560325939
6,none,BIAS,513,0.12953652930489784,-0.2460339903919786,0.10345841396103694,0.20031020153190107,-0.0757241880233258
6,none,RMSE,513,0.12844439029514368,1.160609409771336,0.19830147009484167,0.24181871125260052,1.1637211044294011
6,fixed_lapse,MAE,513,0.09848250480800944,0.8583636148448913,0.1823869388180589,0.19249547661654626,0.870245448898576
6,fixed_lapse,BIAS,513,-0.10608038624531253,0.22702448607794148,0.0775536709184701,-0.05636492229451539,0.1403531350175782
6,fixed_lapse,RMSE,513,0.1325847147525553,1.1149969910345647,0.2143390793343034,0.2104226612534341,1.1548680125203103
7,none,MAE,513,0.11883109777635179,0.8780874184844584,0.21132847573740576,0.27188614513156245,0.8684355251153503
7,none,BIAS,513,0.13839772073765863,-0.2640173361048865,0.12376808711914278,0.2137732004506986,-0.0867355946825057
7,none,RMSE,513,0.13201459126426934,1.1279464427579944,0.21370764832966171,0.26350113080144044,1.1305886133505718
7,fixed_lapse,MAE,513,0.0981698665342917,0.8179909259241563,0.20671033409010775,0.22712331477523895,0.8417547753302076
7,fixed_lapse,BIAS,513,-0.09720396887461542,0.20912125249843438,0.07523193826269514,-0.04775791640993872,0.1140491877218482
7,fixed_lapse,RMSE,513,0.13124610691382246,1.0744961290186068,0.23300049638594178,0.23686027767122894,1.1186128077877724
8,none,MAE,513,0.13031391770743456,0.8308986884610182,0.24902232553324666,0.3417086443289307,0.8280651955669975
8,none,BIAS,513,0.15685621238350395,-0.30172482674234796,0.1671807012747738,0.22448923720947858,-0.0889596939078461
8,none,RMSE,513,0.1441787946633221,1.0703781530685519,0.2524883479945357,0.3267979227101611,1.0687737000197737
8,fixed_lapse,MAE,513,0.09029825782309447,0.7666670637720845,0.23954583608570035,0.31175827266306866,0.7914237897151377
8,fixed_lapse,BIAS,513,-0.07866325374843151,0.1715737558762611,0.07031089559876658,-0.039964079588796844,0.0625337231504504
