ELEVATION_BAND,HOUR,N_STATIONS,NONE_N_PAIRED_HOURS,NONE_BIAS_MEDIAN_C,NONE_BIAS_Q25_C,NONE_BIAS_Q75_C,NONE_BIAS_IQR_C,NONE_MAE_MEDIAN_C,NONE_MAE_Q25_C,NONE_MAE_Q75_C,NONE_MAE_IQR_C,NONE_RMSE_MEDIAN_C,NONE_RMSE_Q25_C,NONE_RMSE_Q75_C,NONE_RMSE_IQR_C,FIXED_N_PAIRED_HOURS,FIXED_BIAS_MEDIAN_C,FIXED_BIAS_Q25_C,FIXED_BIAS_Q75_C,FIXED_BIAS_IQR_C,FIXED_MAE_MEDIAN_C,FIXED_MAE_Q25_C,FIXED_MAE_Q75_C,FIXED_MAE_IQR_C,FIXED_RMSE_MEDIAN_C,FIXED_RMSE_Q25_C,FIXED_RMSE_Q75_C,FIXED_RMSE_IQR_C
100m 미만,12,315,113984,-0.15647427864334748,-0.5361714194764332,0.09480341466470912,0.6309748341411423,0.6687859123202758,0.5074098222831047,0.892603729964276,0.38519390768117123,0.8609568573037372,0.6573953965442776,1.1283909962808871,0.47099559973660954,113984,0.02581939108404849,-0.21915234516322246,0.2727505251053659,0.49190287026858837,0.6158994794973113,0.4997987248167161,0.803035233224316,0.3032365084075999,0.787462352049654,0.6448085274098897,1.0434870691209446,0.3986785417110549
100m 미만,13,315,113992,-0.1688491731063824,-0.564685784935243,0.10438714407106178,0.6690729290063048,0.6662513335766894,0.5131196050438478,0.9372161156876562,0.4240965106438084,0.8474131308017905,0.6593985806041569,1.1307305832633348,0.47133200265917785,113992,0.0053410858699724706,-0.2519844338369486,0.26355381939968925,0.5155382532366378,0.6042899312183387,0.4982436966192768,0.803303129304838,0.30505943268556124,0.7878192717932939,0.6356222996379065,1.0434658868888216,0.4078435872509151
100m 미만,14,315,113977,-0.1863942625804324,-0.5547094590494935,0.09910213244466415,0.6538115914941577,0.6541136198671174,0.5042926341858778,0.9455957814621151,0.4413031472762373,0.8336588378382285,0.6527948768804337,1.1602691408709676,0.5074742639905339,113977,-0.013028953967822634,-0.26189151891563056,0.26352243582978463,0.5254139547454152,0.6029884775894062,0.4822457448291494,0.7932993244071684,0.31105357957801905,0.793461538598843,0.6301968846882575,1.0287726710450111,0.3985757863567536
100m 미만,15,315,114036,-0.19934767459002647,-0.5575463761949047,0.10872008346145264,0.6662664596563573,0.6478899877354086,0.49737712197659023,0.9132636902929181,0.41588656831632786,0.8315717384161969,0.6414529964916407,1.1444365497870812,0.5029835532954405,114036,-0.020041389172801793,-0.27397677498935064,0.224773412684424,0.49875018767377466,0.600795931910228,0.47189092761392426,0.7647317445318925,0.29284081691796826,0.7775288005710916,0.6182846080093922,1.0132296438320414,0.39494503582264917
100m 미만,16,315,114077,-0.2141951319854876,-0.5877146277143968,0.10031627896541452,0.6880309066798113,0.627822290597428,0.4800928690818582,0.8821916349405743,0.40209876585871607,0.8042356509031257,0.6405651934267093,1.1106986163429347,0.4701334229162254,114077,-0.027616960857403255,-0.28213209186787536,0.21354511968536824,0.4956772115532436,0.5577825075280484,0.45814308137491233,0.7154740859532978,0.2573310045783854,0.7419023240606953,0.609209251435338,0.9665617081173011,0.35735245668196314
100m 미만,17,315,114026,-0.2143343415146448,-0.6019044943901712,0.10726321612280676,0.709167710512978,0.6256554848430722,0.4819618255008338,0.8500588146410066,0.36809698914017286,0.8289887482162484,0.644381328701991,1.0939348825596027,0.44955355385761164,114026,-0.03429350719367015,-0.2589820723538462,0.20403509756299407,0.4630171699168403,0.5702893452612742,0.4473059490535537,0.716587286255923,0.26928133720236935,0.7588300284447888,0.6054113503988845,0.9483450593392423,0.3429337089403578
100m 미만,18,315,114079,-0.17632607052646204,-0.6089394157186362,0.12545052476479993,0.7343899404834361,0.6957519230545869,0.5226406057926634,0.9112347046079436,0.3885940988152803,0.9011563280651915,0.7109182287935731,1.1512001814123327,0.4402819526187596,114079,-0.02186646514293477,-0.2630990596490452,0.2750214172026195,0.5381204768516648,0.6240786974347033,0.5069057051844049,0.7952877998792423,0.28838209469483733,0.8196577896000373,0.6691662622877335,1.0463921257099966,0.37722586342226316
100m 미만,19,315,114077,-0.20380762328611243,-0.6538471351668266,0.18427104814586576,0.8381181833126923,0.7416760989659199,0.5758826650060082,0.9836429196401337,0.4077602546341256,0.9589457581398311,0.7715402313493899,1.2609926587132692,0.4894524273638793,114077,-0.009396626623709594,-0.32149867175331126,0.3716396899771742,0.6931383617304855,0.6777995914655986,0.5587096138868299,0.895117797241948,0.336408183355118,0.883870572037983,0.7331393074666026,1.1575045687457657,0.4243652612791631
100m 미만,20,315,114082,-0.19659744786416583,-0.655225477232811,0.26391255325618335,0.9191380304889943,0.7948011967471855,0.6224050238102226,1.0599596652679608,0.43755464145773826,1.027007763804666,0.8190213613860866,1.3224731734065123,0.5034518120204257,114082,-0.015010552633634737,-0.3659677994349103,0.49555600964014745,0.8615238090750578,0.7411690170812696,0.595537137790296,0.9583142709952461,0.3627771332049501,0.9881981848026776,0.7850934547917869,1.237535558187893,0.45244210339610613
100m 미만,21,315,114069,-0.16544858519190758,-0.636901899788426,0.3243435135497975,0.9612454133382236,0.8068588145439662,0.642921335774704,1.0973343642195736,0.45441302844486964,1.058843094518721,0.8526843349563364,1.3617393592355307,0.5090550242791942,114069,0.011234432843570842,-0.374534202025682,0.5524077840114523,0.9269419860371343,0.779024137818079,0.6150804262118286,0.9946261170705962,0.37954569085876766,1.0274023602169275,0.8179688088955683,1.2820315769720634,0.46406276807649505
